lng	lat	fecha	evento	domicilio
-62.24943	-38.71873	2016/01/08 03:28:38	3	AZARA 600
-62.26897	-38.77898	2016/01/08 04:20:40	12	JOSE SISCO esq. MAGALLANES
-62.27102	-38.72139	2016/01/08 04:56:52	3	CASTELLI 
-62.26777	-38.70143	2016/01/08 05:03:29	6	12 DE OCTUBRE esq. SAN JUAN
-62.31261	-38.70515	2016/01/08 05:04:08	3	AVELLANEDA 270
-62.23867	-38.70952	2016/01/08 08:23:51	5	LAUDELINO CRUZ 180
-62.39207	-38.72318	2016/01/08 08:32:22	3	RODRIGUEZ PEÑA 300
-62.2759	-38.71706	2016/01/08 09:08:18	7	BLANDENGUES 
-62.28231	-38.74899	2016/01/08 09:14:51	9	PEDRO PICO esq. CNEL VIDAL
-62.28081	-38.70722	2016/01/08 09:44:43	3	ESTOMBA 120
-62.23023	-38.72589	2016/01/08 10:13:07	3	RASTREADOR FOURNIER 120
-62.28094	-38.70713	2016/01/08 10:51:20	3	ESTOMBA 120
-62.28334	-38.71388	2016/01/08 10:56:32	0	CNEL CHARLONE esq. VIAMONTE
-62.31608	-38.71298	2016/01/08 11:28:31	3	PAMPA CENTRAL 360
-62.26326	-38.72068	2016/01/08 11:55:49	6	LAS HERAS esq. CHICLANA
-62.30613	-38.70676	2016/01/08 12:08:48	3	ARGENTINA DEL SUD 900
-62.26478	-38.71841	2016/01/08 12:33:33	3	VALENTIN ALSINA 
-62.2448	-38.70786	2016/01/08 12:40:15	3	PASTEUR 150
-62.26961	-38.71731	2016/01/08 13:28:55	3	RONDEAU 
-62.26324	-38.72066	2016/01/08 13:44:46	0	CHICLANA esq. FITZ ROY
-62.26138	-38.72454	2016/01/08 13:52:52	0	UNDIANO 
-62.27891	-38.73751	2016/01/08 14:18:01	3	TIERRA DEL FUEGO 300
-62.27222	-38.75168	2016/01/08 14:22:22	3	GRAL TOMAS GUIDO 210
-62.26019	-38.72538	2016/01/08 14:48:01	11	PUEYRREDON 
-62.2455	-38.73286	2016/01/08 16:17:15	3	MAIPU 150
-62.26422	-38.71553	2016/01/08 16:18:33	3	MITRE 
-62.24834	-38.7077	2016/01/08 16:33:59	7	LAS HERAS 120
-62.27058	-38.71507	2016/01/08 16:36:34	3	ESTOMBA 300
-62.27325	-38.7132	2016/01/08 17:01:29	0	PATRICIOS 
-62.20722	-38.72226	2016/01/08 17:24:30	7	RUFINO LURO CAMBACERES esq. PROVINCIAS UNIDAS
-62.27279	-38.74795	2016/01/08 18:27:06	7	GRAL ARIAS 120
-62.25823	-38.71677	2016/01/08 18:32:28	3	DORREGO 300
-62.262	-38.71608	2016/01/08 18:33:28	3	VALENTIN ALSINA 
-62.30561	-38.69656	2016/01/08 18:39:56	3	VIAMONTE 300
-62.220901	-38.733459	2016/01/08 19:01:41	3	HUMBOLDT 300
-62.24651	-38.75354	2016/01/08 18:58:31	19	SANTA MARIA 900
-62.23979	-38.74356	2016/01/08 19:18:25	0	ESMERALDA esq. SAAVEDRA
-62.25281	-38.71123	2016/01/08 19:40:12	3	RINCON 300
-62.25743	-38.74818	2016/01/08 20:27:54	3	VENEZUELA 120
-62.25281	-38.71123	2016/01/08 21:32:36	3	RINCON 311 INTERNO 
-62.28909	-38.70081	2016/01/08 21:48:44	3	ESTOMBA 180
-62.25281	-38.71123	2016/01/08 22:06:56	3	RINCON 311 INTERNO 
-62.25344	-38.71917	2016/01/08 22:19:03	3	CORRIENTES 600
-62.315231	-38.694679	2016/01/08 22:24:26	3	MAESTRO CABALLERO 360
-62.305061	-38.720413	2016/01/08 22:35:22	3	PAMPA CENTRAL 150
-62.22198	-38.73142	2016/01/08 23:23:38	3	HIPOLITO BOUCHARD 270
-62.27233	-38.75644	2016/01/09 00:19:46	3	HONDURAS esq. CNEL VIDAL
-62.26964	-38.72066	2016/01/09 02:16:06	0	AVDA COLON esq. SAAVEDRA
-62.23476	-38.74783	2016/01/09 02:35:50	0	SAAVEDRA 300
-62.29953	-38.69158	2016/01/09 04:56:46	3	AYACUCHO 300
-62.27529	-38.70507	2016/01/09 08:41:20	11	ALVARADO 900
-62.26695	-38.75387	2016/01/09 10:00:41	3	PERITO MORENO 180
-62.26805	-38.74775	2016/01/09 10:32:55	7	LUIS PIEDRA BUENA 150
-62.25337	-38.72298	2016/01/09 11:55:14	3	AVDA PARCHAPE 900
-62.21994	-38.7383	2016/01/09 12:00:12	14	3 DE FEBRERO 330
-62.2642	-38.72149	2016/01/09 12:01:26	7	FITZ ROY 
-62.39706	-38.71685	2016/01/09 12:03:28	0	CORNELIO SAAVEDRA 
-62.32214	-38.7127	2016/01/09 12:31:48	3	RIO ATUEL 270
-62.29491	-38.70877	2016/01/09 13:19:47	3	INGLATERRA 600
-62.27284	-38.69962	2016/01/09 13:36:26	3	URUGUAY 600
-62.25151	-38.73982	2016/01/09 13:39:21	3	THOMPSON 180
-62.2661	-38.74088	2016/01/09 14:37:09	0	NEUQUEN esq. CNEL RAMON L FALCON
